Order ID,Product Name,Category,Price,Quantity,Date
ORD0, MESSI ,,,4,13-13-2023
1,,,,5,2023-01-01
, MESSI ,Electronics,195.63,,13-13-2023
ORD3,Messi!!,Clothing,127.16,-1,2024/02/05
,,Electronics,185.4,,
5,Messi,Clothing,236.66,,13-13-2023
ORD6,Messi!!,??,N/A,-1,
,messi,,,3,
,,??,N/A,,13-13-2023
ORD9,Messi!!,Clothing,N/A,-1,
,Messi#,??,N/A,,
, MESSI ,Clothing,,3,2024/02/05
,,Home,,7,2023-01-01
,messi,Electronics,105.11,1,13-13-2023
,messi,Clothing,,,
15,messi,??,N/A,-1,13-13-2023
16,Messi,Electronics,,,2023-01-01
,Messi#,Home,,,
,Messi#,,246.61,,2024/02/05
ORD19,,Electronics,423.52,,2023-01-01
20,Messi,,,-1,2023-01-01
,Messi#,,,,
,Messi,??,,-1,
23,Messi,Electronics,,-1,2024/02/05
ORD24,Messi#,Clothing,,,2023-01-01
ORD25,messi,Clothing,,-1,
,Messi!!,,,,
,Messi!!,,,,
28,,Electronics,109.49,6,
29,,,N/A,,
,,Home,,-1,2024/02/05
,messi,Clothing,,8,13-13-2023
32, MESSI ,??,N/A,,
33,messi,Home,,-1,2023-01-01
, MESSI ,??,,,
ORD35,,,357.81,,2023-01-01
,,Electronics,231.06,,
37,messi,,154.27,,
38,Messi,Electronics,N/A,6,13-13-2023
,Messi,Electronics,389.47,,2024/02/05
ORD40, MESSI ,,24.49,,2024/02/05
ORD41,Messi!!,Electronics,N/A,3,2023-01-01
ORD42,,Electronics,,,2023-01-01
,,Home,232.34,,
ORD44,messi,Clothing,N/A,6,
,Messi!!,,,1,
,Messi#,Home,N/A,,
,Messi!!,Electronics,N/A,,2023-01-01
,Messi#,Home,N/A,-1,2023-01-01
,Messi,Electronics,,-1,
,messi,Home,,-1,
,,,77.01,,2024/02/05
52,,,,,2023-01-01
,,,,,2023-01-01
54,Messi#,Home,199.09,-1,
,,Home,,3,2024/02/05
56,,Clothing,N/A,-1,2024/02/05
ORD57,,Electronics,,,2024/02/05
58,,,N/A,,13-13-2023
59,,,110.88,4,13-13-2023
,messi,Electronics,,-1,2024/02/05
,Messi#,??,,-1,
,Messi!!,??,,,2023-01-01
ORD63,,Clothing,N/A,,
,Messi#,Electronics,,,2024/02/05
ORD65,,Electronics,,4,2024/02/05
,Messi,??,16.62,,
ORD67,Messi!!,,,,
68,Messi#,??,,,
,,Home,N/A,,13-13-2023
ORD70,Messi,,,-1,2024/02/05
71,,Clothing,326.47,5,13-13-2023
,messi,Clothing,,,13-13-2023
,Messi#,Clothing,,,
74,,Electronics,,-1,13-13-2023
,,Home,N/A,,
76,,Electronics,N/A,4,2024/02/05
, MESSI ,??,N/A,,2024/02/05
ORD78,,Home,350.16,-1,
79,Messi!!,??,486.03,,
80,messi,,356.48,,
, MESSI ,Electronics,,,2024/02/05
ORD82,Messi!!,Clothing,,,
,,??,340.97,,2024/02/05
ORD84,messi,Clothing,63.79,9,2023-01-01
,messi,Electronics,281.9,,2024/02/05
86,messi,Home,,,2023-01-01
,messi,,,-1,2024/02/05
88,,??,,,2023-01-01
,messi,??,,-1,2023-01-01
90,messi,Electronics,,,
,,,111.5,-1,13-13-2023
,,Home,,-1,13-13-2023
93,,Home,N/A,,2023-01-01
,messi,Home,112.65,,
,Messi,Clothing,439.86,3,2024/02/05
,,Home,293.21,8,
, MESSI ,,N/A,,2023-01-01
,,??,,,13-13-2023
,,,,,
100, MESSI ,Clothing,N/A,,2023-01-01
ORD101,Messi!!,Home,239.99,,
,messi,??,N/A,,2023-01-01
,Messi,,91.2,,
,messi,,,,2024/02/05
,Messi!!,??,,1,13-13-2023
, MESSI ,Clothing,N/A,,
,,Home,493.69,8,
,Messi#,Clothing,N/A,,2024/02/05
,Messi,,,-1,2024/02/05
ORD110,,Electronics,298.28,,
ORD111,messi,,N/A,,13-13-2023
ORD112,,Home,,,2024/02/05
ORD113,Messi#,,81.35,,2024/02/05
,,,189.68,,
ORD115,,,,2,
116,Messi#,Home,,,
,Messi!!,,92.2,,
118,,Clothing,,,
ORD119,Messi!!,Clothing,,-1,2023-01-01
,messi,,,,
121,,Electronics,368.21,,2024/02/05
,messi,Clothing,370.46,,2023-01-01
,Messi!!,Clothing,166.35,,
124,Messi,Electronics,,-1,2024/02/05
ORD125, MESSI ,Electronics,,-1,
126, MESSI ,Home,,-1,2024/02/05
,messi,Home,N/A,-1,
,,Electronics,47.4,,
,Messi!!,Electronics,395.02,,
,,,,,2023-01-01
ORD131, MESSI ,Home,,3,
132,Messi,,400.71,2,
133,,Electronics,428.82,,2024/02/05
134,,??,N/A,,
,messi,Electronics,,-1,
136,Messi#,Home,324.1,,
,Messi,??,,,2023-01-01
,Messi#,,N/A,,2023-01-01
139,Messi,Electronics,,6,13-13-2023
, MESSI ,,,-1,
,Messi,,N/A,,
ORD142,,??,N/A,,
,,Electronics,,,
,,Electronics,N/A,-1,
145,,Home,,,13-13-2023
,messi,??,,8,13-13-2023
147, MESSI ,Home,13.27,7,
, MESSI ,,N/A,3,
149,,,,,2024/02/05
ORD150,Messi#,,,,
,messi,Electronics,N/A,10,
,,??,,,2023-01-01
ORD153,,Electronics,N/A,10,2024/02/05
,Messi,??,N/A,,
,Messi#,Home,,,13-13-2023
,,Clothing,,-1,2023-01-01
, MESSI ,Home,,,2024/02/05
,Messi!!,??,N/A,,2024/02/05
159,messi,Home,,,13-13-2023
,Messi,,486.54,7,13-13-2023
,messi,Home,,,
ORD162, MESSI ,Electronics,255.12,,2024/02/05
163,messi,Home,,-1,
164,Messi#,Home,N/A,-1,13-13-2023
,,Clothing,N/A,,
ORD166,Messi#,Clothing,,,2023-01-01
167,,,485.27,,2024/02/05
, MESSI ,,264.78,-1,
169,Messi#,Home,169.84,-1,
,,,,2,
,,??,11.9,,
,Messi!!,??,375.84,,2024/02/05
173,,,,3,
174,Messi,??,N/A,-1,13-13-2023
,Messi,Home,353.05,,2024/02/05
,Messi,??,61.39,,
,,??,,,2023-01-01
,,,,10,13-13-2023
179,Messi,Clothing,,1,
,,Clothing,,,2023-01-01
181,messi,Electronics,432.49,-1,
,Messi,Home,,-1,2023-01-01
183,messi,Home,336.46,9,2023-01-01
,Messi#,,N/A,-1,
ORD185,Messi,Home,253.89,,
,,,N/A,,
ORD187,Messi!!,,382.77,,
188,,Electronics,,,2024/02/05
189,,,N/A,-1,2024/02/05
, MESSI ,,N/A,-1,
191,,Electronics,,4,2023-01-01
, MESSI ,,,,2023-01-01
,Messi,,,,
ORD194,Messi!!,,,,2024/02/05
,Messi,Electronics,,,
,Messi!!,Home,N/A,,
197,,??,,3,13-13-2023
ORD198,Messi#,Home,248.92,,2024/02/05
199, MESSI ,Clothing,N/A,,
200,Messi#,Electronics,,-1,2024/02/05
, MESSI ,,295.56,,
ORD202, MESSI ,??,,-1,2024/02/05
,Messi,Clothing,366.17,-1,
204,Messi#,??,,-1,13-13-2023
ORD205,Messi!!,??,11.21,,2023-01-01
,Messi,??,379.19,,2024/02/05
ORD207,Messi!!,,N/A,-1,2024/02/05
,Messi!!,??,N/A,-1,13-13-2023
209,Messi!!,,,-1,
210,messi,Electronics,,2,2023-01-01
211,messi,Clothing,,,2023-01-01
ORD212,Messi!!,,,-1,
,Messi#,Clothing,489.14,,
,,Electronics,,,13-13-2023
215, MESSI ,Clothing,,-1,
,,Electronics,N/A,,
217,Messi#,Clothing,,,13-13-2023
ORD218, MESSI ,Electronics,428.16,,2023-01-01
ORD219,,,,,13-13-2023
,Messi,Clothing,,-1,
221,Messi!!,,,,
,messi,??,,-1,
223, MESSI ,,,,
224, MESSI ,Electronics,N/A,6,
ORD225,messi,??,N/A,7,13-13-2023
226,Messi#,??,70.16,,
ORD227, MESSI ,??,N/A,-1,2024/02/05
228,Messi,,421.27,,
,Messi#,Electronics,N/A,1,2024/02/05
ORD230,messi,Clothing,,1,
,Messi#,Clothing,46.09,-1,
, MESSI ,Electronics,,,
ORD233,,??,N/A,-1,2023-01-01
,,,251.7,,2024/02/05
235,Messi#,Home,N/A,,
,,,252.37,,
ORD237,Messi,Home,N/A,-1,
, MESSI ,Electronics,,-1,13-13-2023
,Messi#,,,-1,2024/02/05
,,Electronics,N/A,,
,,Clothing,,-1,13-13-2023
242,messi,,N/A,-1,
,Messi!!,Clothing,N/A,9,2023-01-01
ORD244, MESSI ,,N/A,-1,
ORD245,Messi!!,,,,2023-01-01
,,??,,,
247,,Clothing,219.75,-1,
,Messi,Home,,,13-13-2023
,,,,,2024/02/05
,messi,??,,,
ORD251, MESSI ,Clothing,,,13-13-2023
252,Messi!!,??,,5,
,messi,Electronics,,,2024/02/05
254,,Clothing,308.58,-1,
,Messi!!,,440.77,3,
ORD256, MESSI ,Home,,,2024/02/05
,,,N/A,,2024/02/05
,,Electronics,480.57,,13-13-2023
,Messi#,Clothing,,-1,13-13-2023
,messi,Home,,8,2023-01-01
ORD261,messi,??,,-1,13-13-2023
262, MESSI ,Home,,,13-13-2023
,,Clothing,,,
264,messi,,193.29,-1,2024/02/05
265,messi,,,,2024/02/05
ORD266,Messi!!,,,-1,2023-01-01
,Messi!!,Clothing,N/A,,
ORD268, MESSI ,Clothing,469.0,-1,
,Messi#,,N/A,,2023-01-01
,,,N/A,,2023-01-01
,Messi#,Electronics,448.88,1,13-13-2023
,Messi#,Clothing,254.49,,
ORD273,Messi,Electronics,,,2023-01-01
,Messi!!,Home,85.37,,2024/02/05
,Messi,Home,219.2,1,13-13-2023
ORD276,,,N/A,,
277,Messi,,250.12,10,13-13-2023
,Messi#,,,2,13-13-2023
, MESSI ,Electronics,233.03,,
280,Messi#,,30.74,,2024/02/05
,Messi!!,??,N/A,,
ORD282,,,N/A,-1,13-13-2023
ORD283,,Clothing,N/A,-1,
284,Messi!!,,,8,2023-01-01
ORD285,Messi!!,??,N/A,-1,13-13-2023
286,messi,Clothing,,,
,,Home,,,2023-01-01
288, MESSI ,Home,184.95,6,
ORD289,messi,,,,2023-01-01
,Messi#,,,10,2024/02/05
,,Clothing,,,
ORD292,Messi!!,Clothing,,,2023-01-01
,Messi,,N/A,,2024/02/05
,,Home,N/A,,
,,,,,
296,Messi,,211.66,,
,,Clothing,,,
298, MESSI ,Home,264.85,,13-13-2023
, MESSI ,,,-1,
,Messi,Electronics,,,2023-01-01
301,,Clothing,,4,2024/02/05
,Messi#,,,,
ORD303,Messi#,Electronics,N/A,-1,2024/02/05
304,,??,,,
,Messi#,,,,2024/02/05
306,,,N/A,3,
, MESSI ,,,-1,
308,messi,Home,N/A,-1,2023-01-01
,messi,Home,421.82,,2023-01-01
ORD310,Messi#,??,,,13-13-2023
,Messi!!,??,N/A,3,2024/02/05
312,messi,,,-1,
,,,,4,
,,??,,-1,2023-01-01
,Messi!!,Clothing,479.47,,2024/02/05
316,,,421.36,3,13-13-2023
ORD317,Messi!!,,149.74,,2023-01-01
,,Home,74.42,-1,2024/02/05
,messi,??,,7,
,,Clothing,,8,2024/02/05
